,reaction,metabolite,sample_id,flux
4997,EX_MGlcn66_rl(e),MGlcn66_rl(e),Cancer3,1.8661884730120938e-11
4998,EX_MGlcn66_rl(e),MGlcn66_rl(e),Cancer4,7.166003424085872e-12
4999,EX_MGlcn66_rl(e),MGlcn66_rl(e),Cancer5,3.119246235408385e-11
5000,EX_MGlcn66_rl(e),MGlcn66_rl(e),Cancer6,8.615737452962062e-07
5001,EX_MGlcn66_rl(e),MGlcn66_rl(e),Cancer7,3.081497420816583e-12
5002,EX_MGlcn66_rl(e),MGlcn66_rl(e),Cancer8,1.505916800519781e-10
5003,EX_MGlcn66_rl(e),MGlcn66_rl(e),Healthy1,3.8460590154764615e-09
5004,EX_MGlcn66_rl(e),MGlcn66_rl(e),Healthy2,1.1441309866313144e-12
5005,EX_MGlcn66_rl(e),MGlcn66_rl(e),Healthy3,1.5059233592294516e-08
5006,EX_MGlcn66_rl(e),MGlcn66_rl(e),Healthy4,4.774073210213023e-13
5007,EX_MGlcn66_rl(e),MGlcn66_rl(e),Healthy5,4.146346032904758e-12
5008,EX_MGlcn66_rl(e),MGlcn66_rl(e),Healthy6,8.953243475642688e-11
5009,EX_MGlcn66_rl(e),MGlcn66_rl(e),Healthy7,1.194267519524794e-12
5010,EX_MGlcn66_rl(e),MGlcn66_rl(e),Healthy8,1.6763537133584057e-09
5011,EX_MGlcn67(e),MGlcn67(e),Cancer1,6.986154345521024e-10
5012,EX_MGlcn67(e),MGlcn67(e),Cancer2,5.082914810802047e-13
5013,EX_MGlcn67(e),MGlcn67(e),Cancer3,1.0295460819607366e-11
5014,EX_MGlcn67(e),MGlcn67(e),Cancer4,3.229240740928437e-12
5015,EX_MGlcn67(e),MGlcn67(e),Cancer5,9.617990925669478e-12
5016,EX_MGlcn67(e),MGlcn67(e),Cancer6,5.100858171168158e-07
5017,EX_MGlcn67(e),MGlcn67(e),Cancer7,1.4101742696362612e-13
5018,EX_MGlcn67(e),MGlcn67(e),Healthy1,1.4173037465456317e-10
5019,EX_MGlcn67(e),MGlcn67(e),Healthy3,7.631202943897042e-09
5020,EX_MGlcn67(e),MGlcn67(e),Healthy5,6.439471772218829e-13
5021,EX_MGlcn67(e),MGlcn67(e),Healthy7,3.1671530227799543e-13
5022,EX_MGlcn67(e),MGlcn67(e),Healthy8,1.8700631539482367e-09
